Project Name,Package Name,Package Depth,Line Length,Pachage Files
,au/com/cgu/cudosui/sample/clean/model/common/flow,8,86,0
,au/com/cgu/cudosui/sample/clean/model/common/flow/initialisation,9,101,0
,au/com/cgu/cudosui/sample/clean/model/common/flow/initialisation/policy,10,108,0
,au/com/cgu/cudosui/sample/clean/model/common/flow/initialisation/policy/operation,11,118,0
,au/com/cgu/cudosui/sample/clean/model/common/flow/initialisation/policy/operation/common,12,125,0
,au/com/cgu/cudosui/sample/clean/model/common/flow/structure,9,96,0
,au/com/cgu/cudosui/sample/clean/model/common/notes/components,9,98,0
,au/com/cgu/cudosui/sample/clean/model/common/notes/manager,9,95,0
,au/com/cgu/cudosui/sample/clean/model/common/policy,8,88,0
,au/com/cgu/cudosui/sample/clean/model/common/policy/structure,9,98,0
,au/com/cgu/cudosui/sample/clean/model/common/policy/structure/adapter,10,106,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/accumulation,9,106,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/accumulation/locality,10,115,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/accumulation/locality/search,11,122,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/policy,9,100,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/premiumclass,9,106,0
,au/com/cgu/cudosui/sample/clean/model/common/reinsurance/premiumclass/selection,10,116,0
,au/com/cgu/cudosui/sample/clean/model/common/security,8,90,0
,au/com/cgu/cudosui/sample/clean/model/dashboard,7,84,0
,au/com/cgu/cudosui/sample/clean/model/dashboard/policy,8,91,0
,au/com/cgu/cudosui/sample/clean/model/dashboard/policy/serialisation,9,105,0
,au/com/cgu/cudosui/sample/clean/model/ui,7,77,0
,au/com/cgu/cudosui/sample/clean/model/ui/correspondence,8,92,0
,au/com/cgu/cudosui/sample/clean/model/ui/correspondence/partner,9,100,0
,au/com/cgu/cudosui/sample/clean/model/ui/correspondence/policy,9,99,0
,au/com/cgu/cudosui/sample/clean/model/ui/debug,8,83,0
,au/com/cgu/cudosui/sample/clean/model/ui/exterlal,8,86,0
,au/com/cgu/cudosui/sample/clean/model/ui/exterlal/bne/renewal,10,98,0
,au/com/cgu/cudosui/sample/clean/model/ui/external,8,86,0
,au/com/cgu/cudosui/sample/clean/model/ui/external/bizintelligence,9,102,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow,8,82,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/common/cee,10,93,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/customitem,9,93,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/customitem/correspondence,10,108,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/customitem/correspondence/interactive,11,120,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/data,9,87,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/data/getter,10,94,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/data/getter/structure,11,104,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/data/getter/structure/predicate,12,114,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/expression,9,93,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/expression/operandresolver,10,109,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/expression/operandresolver/custom,11,116,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/expression/operandresolver/custom/worsening,12,126,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/initialisation,9,97,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/initialisation/policy,10,104,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/initialisation/policy/operation,11,114,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/initialisation/policy/replication,11,116,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/interaction,9,94,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/locator,9,90,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/locator/policy,10,97,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/locator/policy/to,11,100,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main,9,87,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/customitem,10,98,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/customitem/error,11,104,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/customitem/offering,11,107,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/customitem/policy,11,105,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/customitem/validator,11,108,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction,10,99,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/navigation,11,110,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/navigation/buttons,12,118,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/navigation/buttons/next,13,123,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/staffpanel,11,110,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/staffpanel/documents,12,120,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/staffpanel/documents/edm,13,124,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/staffpanel/referrals,12,120,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/state,11,105,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/state/item,12,110,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel,11,108,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common,12,115,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common/drex,13,120,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common/drex/referral,14,129,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common/drex/referral/codes,15,135,0
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common/drex/referral/codes/authorisation,16,149,3
,au/com/cgu/cudosui/sample/clean/model/ui/flow/main/interaction/toppanel/common/drex/referral/codes/authorisation/entitlements,17,162,0
