Class Name,Source,Target
au.com.cgu.cudosui.sample.clean.service.ui.flow.rule.covers.runner.visibility.CoverVisibilityStateRemover,12,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.customitem.offering.selector.OfferingSelectorChangeModelCreator,38,0
au.com.cgu.cudos.offeringmanager.integration.offering.structure.workflowmapoffering.AbstractStructureDao,4,13
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.policy.to.drex.answerloader.creator.ReadMappingChainCreator,13,3
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.toppanel.referrals.interaction.handler.flow.synchroniser.question.NewReferralsOnViewSuppressor,19,2
au.com.cgu.cudosui.sample.clean.model.ui.policy.batch.BatchDetails,0,59
au.com.cgu.cudosui.sample.clean.model.ui.correspondence.policy.request.NonPolicyAwareInput,4,14
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.customitem.payments.PaymentsItemPreProcessor,25,0
au.com.cgu.cudosui.sample.clean.model.ui.flow.common.cee.operation.TransactionResponse,1,53
au.com.cgu.cudosui.sample.clean.service.common.policy.deepcopy.elements.restorer.clause.ClausesReferenceRestorer,12,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.customitem.premium.summary.PersistedPolicyHandler,24,4
au.com.cgu.drex.model.interaction.InteractionSettings,1,11
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.policy.builder.outofsequence.LastTransactionCancellation,19,0
au.com.cgu.cudosui.sample.clean.service.common.embargoes.EmbargoService,14,1
au.com.cgu.cudosui.sample.clean.web.ui.flow.system.nongui.cee.operation.actions.suspend.SuspendInterimCoverReinstatementHandler,19,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.SaveInterimCoverReinstatementHandler,26,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.rule.cx.covers.creator.parser.global.availability.CxAvailabilityRuleCreator,11,1
au.com.cgu.cudos.configtool.service.offerings.product.structure.health.FactorsPredicate,12,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.channel.sunrise.callback.transaction.edit.lapse.SunriseTransferLapseInitialiser,13,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.resume.ResumeAndSaveNewBusinessHandler,18,0
au.com.cgu.cudosui.sample.clean.web.dashboard.entrypoint.EntryPointContainerController,11,0
au.com.cgu.cudos.cxconfdata.model.endorsement.EndorsementClause,0,23
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.toppanel.referrals.interaction.handler.pre.attacher.premiumsummary.PremiumSummaryReferralAttacher,18,0
au.com.cgu.drex.service.flow.inspector.flattener.QuestionFlattener,4,25
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.policy.consolidation.premium.TotalPremiumRefresher,11,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.channel.sunrise.common.SunrisePreloadingContextCreator,6,20
