Call Tree,Time (ms),Own Time (ms),Level
ElementImpl.java:78,15,15,67
ExtractionServiceOptimised.java:233,15,15,64
ExtractionServiceOptimised.java:369,202,202,63
ExtractionServiceOptimised.java:383 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.concateChildrenOfBaseAndExtension(ComplexType:ComplexType),62,62,62
ExtractionServiceOptimised.java:390,31,31,63
ExtractionServiceOptimised.java:389,31,31,63
ExtractionServiceOptimised.java:377,31,31,62
ExtractionServiceOptimised.java:381 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.setBaseQName(QName),15,15,62
QuestionNodeOptimised.java:174,15,15,63
ExtractionServiceOptimised.java:381 org.ow2.easywsdl.schema.impl.ElementImpl.getQName(),15,15,62
ElementImpl.java:106,15,15,63
ExtractionServiceOptimised.java:381,15,15,62
ExtractionServiceOptimised.java:237 org.ow2.easywsdl.schema.impl.ElementImpl.getQName(),78,15,60
ElementImpl.java:106 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),62,62,61
AbstractSchemaElementImpl.java:170,62,62,62
ElementImpl.java:106,15,15,61
ExtractionServiceOptimised.java:237 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.createQuestionNode(QName:QuestionNodeOptimised:Annotated),15,0,60
ExtractionServiceOptimised.java:396 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.<init>(String:QName),15,0,61
QuestionNodeOptimised.java:45 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForQNames(QName),15,0,62
QuestionNodeOptimised.java:62 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupInCacheOrAddNewQName(Map:QName),15,0,63
QuestionNodeOptimised.java:74 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForUri(QName:Map:String),15,0,64
QuestionNodeOptimised.java:85 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForLocalPart(QName:Map:String),15,0,65
QuestionNodeOptimised.java:106 java.util.HashMap.containsKey(Object),15,15,66
ExtractionServiceOptimised.java:369,15,15,59
ExtractionServiceOptimised.java:232 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),31,0,56
ElementImpl.java:46 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),31,0,57
ElementImpl.java:122 org.ow2.easywsdl.schema.impl.ElementImpl.findType(),31,15,58
ElementImpl.java:78 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),15,15,59
AbstractSchemaImpl.java:227,15,15,60
ElementImpl.java:73,15,15,59
ExtractionServiceOptimised.java:232 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),15,0,49
ElementImpl.java:46 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),15,0,50
ElementImpl.java:122 org.ow2.easywsdl.schema.impl.ElementImpl.findType(),15,0,51
ElementImpl.java:78 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),15,15,52
AbstractSchemaImpl.java:227,15,15,53
ExtractionServiceOptimised.java:103 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.generateDescription(URL),1782,0,41
ExtractionServiceOptimised.java:133 org.ow2.easywsdl.wsdl.impl.generic.WSDLReaderImpl.read(URL),1017,0,42
WSDLReaderImpl.java:96 org.ow2.easywsdl.wsdl.impl.generic.WSDLReaderImpl.read(AbsItfDescription$WSDLVersionConstants:InputSource:Map:Map),707,0,43
WSDLReaderImpl.java:146 org.ow2.easywsdl.wsdl.impl.generic.WSDLReaderImpl.read(AbsItfDescription$WSDLVersionConstants:InputSource:Map:Map:boolean),707,0,44
WSDLReaderImpl.java:161 org.ow2.easywsdl.wsdl.impl.wsdl11.WSDLReaderImpl.read(InputSource:Map:Map:boolean),707,0,45
WSDLReaderImpl.java:180 org.ow2.easywsdl.wsdl.impl.wsdl11.DescriptionImpl.<init>(URI:TDefinitions:NamespaceMapperImpl:SchemaLocatorImpl:Map:Map:Map:WSDLReaderImpl),483,15,46
DescriptionImpl.java:145 org.ow2.easywsdl.wsdl.impl.wsdl11.TypesImpl.<clinit>(),280,0,47
TypesImpl.java:82 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.read(URL),280,0,48
